,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
37406,まんのう町　　,Manno-cho,"18,377","18,252",113,"18,243","2,237","9,612","6,519",...,91,293,417,419,"15,998","6,445","6,435","3,626","1,370","1,871",992,877,56,24,37406
38,愛媛県　　　,Ehime-ken,"1,385,262","1,365,508","8,096","1,356,343","169,110","776,111","417,186","733,434","8,102","18,036","34,766","37,920","1,385,392","591,972","590,629","338,047","198,343","144,736","81,216","81,356","4,903","2,001",38
38201,松山市　　　　,Matsuyama-shi,"514,865","502,860","2,296","509,483","64,925","303,024","128,658","429,624","3,437","5,673","14,614","14,342","520,193","230,509","230,058","123,806","89,157","45,805","25,053","26,681","2,183",848,38201
38202,今治市　　　　,Imabari-shi,"158,114","155,995","1,946","156,254","18,816","86,057","52,636","58,795",838,"2,186","3,203","3,820","159,932","67,105","66,974","39,513","20,966","18,577","10,512","10,155",486,191,38202
38203,宇和島市　　　,Uwajima-shi,"77,465","77,052",328,"73,067","8,483","40,680","28,072","31,927",344,"1,261","1,560","2,095","78,314","32,732","32,651","17,656","10,691","8,689","4,714","5,705",232,98,38203
38204,八幡浜市　　　,Yawatahama-shi,"34,951","34,795",105,"32,584","3,558","18,209","13,058","11,892",148,540,709,948,"35,701","14,995","14,957","8,618","4,801","4,348","2,466","2,702",87,50,38204
38205,新居浜市　　　,Niihama-shi,"119,903","118,781",750,"117,846","15,812","66,679","36,715","86,704",776,"1,577","2,812","3,123","122,323","50,653","50,536","30,693","15,870","12,983","7,470","7,384",494,183,38205
38206,西条市　　　　,Saijo-shi,"108,174","106,836",837,"108,025","13,857","60,473","32,793","30,063",697,"1,494","2,626","2,842","104,594","44,595","44,510","27,121","13,184","11,416","6,683","6,112",387,175,38206
38207,大洲市　　　　,Ozu-shi,"44,086","43,818",114,"42,004","5,370","23,586","14,715","8,095",235,621,932,"1,249","44,642","18,057","18,011","10,525","5,445","4,883","2,739","2,859",141,64,38207
38210,伊予市　　　　,Iyo-shi,"36,827","36,611",182,"36,463","4,609","20,602","11,556","14,096",179,501,907,"1,049","33,302","14,003","13,980","8,906","3,258","4,010","2,146","1,823",95,39,38210
38213,四国中央市　　,Shikokuchuo-shi,"87,413","86,623",473,"85,450","10,741","49,719","26,123","33,723",558,"1,145","1,700","2,079","88,166","34,999","34,900","21,070","9,802","9,044","4,874","4,161",300,130,38213
38214,西予市　　　　,Seiyo-shi,"38,919","38,673",239,"36,633","4,199","18,830","15,867",...,175,654,782,886,"37,587","16,365","16,301","9,631","4,849","5,215","3,166","3,123",79,40,38214
38215,東温市　　　　,Toon-shi,"34,613","34,365",143,"33,537","4,393","20,446","9,526","9,657",192,396,"1,385","1,341","36,463","13,978","13,932","8,172","4,509","3,324","1,848","1,623",92,40,38215
38356,上島町　　　　,Kamijima-cho,"7,135","6,818",285,"6,556",548,"3,554","3,026",...,19,106,276,347,"7,127","3,386","3,380","1,783","1,380","1,127",737,705,14,5,38356
38386,久万高原町　　,Kumakogen-cho,"8,447","8,413",32,"7,924",728,"3,712","3,984",...,23,165,265,266,"8,699","4,052","4,039","2,273","1,519","1,334",893,"1,042",22,6,38386
38401,松前町　　　　,Masaki-cho,"30,064","29,956",85,"30,622","4,007","17,301","8,703","12,884",187,345,"1,227","1,114","28,566","11,525","11,511","7,589","2,697","3,228","1,717","1,295",100,47,38401
38402,砥部町　　　　,Tobe-cho,"21,239","21,173",39,"20,714","2,671","12,161","6,323","5,974",91,251,575,684,"18,554","8,356","8,336","5,299","2,207","2,296","1,260",955,53,22,38402
38422,内子町　　　　,Uchiko-cho,"16,742","16,694",25,"16,056","1,904","8,422","6,352",...,79,257,329,437,"15,645","6,475","6,453","3,871","1,598","2,010","1,164","1,055",41,15,38422
38442,伊方町　　　　,Ikata-cho,"9,626","9,572",53,"8,901",839,"4,637","4,150",...,20,185,205,250,"10,367","4,488","4,477","2,488","1,610","1,481",871,977,25,4,38442
38484,松野町　　　　,Matsuno-cho,"4,072","4,002",53,"3,814",354,"1,984","1,726",...,13,89,107,250,"3,643","1,675","1,653",911,515,532,311,315,2,1,38484
38488,鬼北町　　　　,Kihoku-cho,"10,705","10,641",60,"9,915","1,159","5,027","4,516",...,30,214,226,302,"10,379","4,614","4,590","2,695","1,452","1,493",911,944,22,16,38488
38506,愛南町　　　　,Ainan-cho,"21,902","21,830",51,"20,495","2,137","11,008","8,687",...,61,376,326,496,"21,195","9,410","9,380","5,427","2,833","2,941","1,681","1,740",48,27,38506
39,高知県　　　,Kochi-ken,"728,276","722,728","3,236","701,531","83,884","400,605","237,012","316,919","4,082","9,998","19,717","21,614","727,644","319,011","318,086","174,699","115,865","78,473","41,847","52,459","2,440","1,149",39
39201,高知市　　　　,Kochi-shi,"337,190","334,124","1,147","325,218","42,364","197,306","91,788","271,698","2,163","3,797","8,328","9,127","346,494","153,594","153,246","81,551","61,584","30,935","16,036","22,340","1,344",619,39201
39202,室戸市　　　　,Muroto-shi,"13,524","13,453",65,"12,683","1,024","6,362","6,129",...,40,244,257,408,"13,406","6,512","6,501","3,442","2,506","2,095","1,245","1,528",31,18,39202
39203,安芸市　　　　,Aki-shi,"17,577","17,506",42,"16,869","1,811","9,127","6,574","5,416",77,289,470,525,"18,008","7,604","7,590","4,176","2,615","2,168","1,093","1,493",47,26,39203
39204,南国市　　　　,Nankoku-shi,"47,982","47,693",189,"46,941","6,061","27,501","14,107","12,584",315,541,"1,865","1,973","50,535","19,481","19,431","11,184","6,349","4,595","2,367","2,534",162,86,39204
39205,土佐市　　　　,Tosa-shi,"27,038","26,721",309,"26,708","3,048","14,625","9,347","5,711",184,381,810,911,"25,396","10,255","10,220","5,997","2,680","2,970","1,394","1,559",98,44,39205
39206,須崎市　　　　,Susaki-shi,"22,606","22,198",389,"21,088","2,280","12,096","8,184",...,86,363,667,827,"23,828","9,121","9,090","5,006","2,933","2,621","1,333","1,488",48,24,39206
39208,宿毛市　　　　,Sukumo-shi,"20,907","20,833",59,"19,895","2,396","11,215","7,265",...,82,283,465,599,"21,338","8,925","8,887","5,194","2,840","2,437","1,332","1,467",66,39,39208
39209,土佐清水市　　,Tosashimizu-shi,"13,778","13,733",45,"12,978","1,147","6,294","6,337",...,35,259,263,407,"13,411","6,586","6,567","3,722","2,458","2,213","1,301","1,659",29,16,39209
39210,四万十市　　　,Shimanto-shi,"34,313","34,164",101,"33,333","4,052","18,391","11,716","11,040",219,513,"1,094","1,149","35,471","14,771","14,697","8,312","5,018","3,828","2,055","2,389",129,50,39210
39211,香南市　　　　,Konan-shi,"32,961","32,808",126,"33,193","4,365","18,375","10,132",...,209,405,"1,194","1,125","28,172","12,953","12,917","7,938","3,610","3,472","1,798","1,788",106,62,39211
39212,香美市　　　　,Kami-shi,"27,513","27,246",214,"25,911","2,673","14,539","10,111","10,470",146,425,915,803,"26,477","11,979","11,914","6,105","4,571","3,229","1,726","2,033",62,39,39212
39301,東洋町　　　　,Toyo-cho,"2,584","2,525",59,"2,307",190,"1,233","1,160",...,6,67,56,65,"2,392","1,382","1,381",680,623,394,248,378,5,3,39301
39302,奈半利町　　　,Nahari-cho,"3,326","3,314",10,"3,119",310,"1,584","1,427",...,19,56,104,85,"3,289","1,474","1,471",803,543,430,227,346,13,3,39302
39303,田野町　　　　,Tano-cho,"2,733","2,725",8,"2,606",259,"1,386","1,088",...,13,40,94,80,"2,842","1,188","1,185",623,400,343,164,235,6,0,39303
39304,安田町　　　　,Yasuda-cho,"2,631","2,628",3,"2,594",203,"1,277","1,151",...,15,60,59,73,"2,395","1,146","1,144",629,356,380,195,256,3,3,39304
39305,北川村　　　　,Kitagawa-mura,"1,294","1,290",4,"1,247",140,604,550,...,8,24,43,50,"1,246",582,582,326,200,178,105,142,2,1,39305
39306,馬路村　　　　,Umaji-mura,823,821,2,832,90,409,324,...,6,16,36,48,898,391,391,208,143,108,72,72,4,0,39306
39307,芸西村　　　　,Geisei-mura,"3,858","3,836",20,"3,672",428,"1,940","1,488",...,20,68,116,104,"3,912","1,488","1,477",819,453,408,215,287,9,4,39307
39341,本山町　　　　,Motoyama-cho,"3,573","3,548",25,"3,425",321,"1,715","1,537",...,11,68,141,139,"3,494","1,688","1,675",860,697,479,297,435,9,2,39341
39344,大豊町　　　　,Otoyo-cho,"3,962","3,928",34,"3,418",188,"1,559","2,215",...,9,111,86,106,"4,024","2,050","2,046","1,014",888,714,446,642,5,1,39344
39363,土佐町　　　　,Tosa-cho,"3,997","3,981",16,"3,784",382,"1,823","1,792",...,20,76,120,110,"3,992","1,734","1,729",898,637,513,318,377,7,3,39363
39364,大川村　　　　,Okawa-mura,396,395,1,377,41,184,171,...,0,10,12,18,434,210,209,96,100,57,34,55,0,0,39364
39386,いの町　　　　,Ino-cho,"22,767","22,667",28,"22,235","2,257","12,326","8,105",...,104,360,603,654,"19,962","9,198","9,174","5,662","2,463","2,777","1,500","1,537",64,20,39386
39387,仁淀川町　　　,Niyodogawa-cho,"5,551","5,503",48,"5,106",387,"2,170","2,994",...,12,126,159,159,"5,776","2,778","2,752","1,385","1,168",939,605,865,12,4,39387
39401,中土佐町　　　,Nakatosa-cho,"6,840","6,822",18,"6,473",626,"3,273","2,941",...,20,146,117,200,"6,254","2,916","2,909","1,674",924,976,521,611,7,7,39401
39402,佐川町　　　　,Sakawa-cho,"13,114","13,082",28,"12,521","1,510","6,657","4,947",...,53,211,335,363,"11,414","5,237","5,218","3,162","1,472","1,600",899,956,43,15,39402
39403,越知町　　　　,Ochi-cho,"5,795","5,782",13,"5,376",506,"2,659","2,629",...,18,133,111,159,"5,608","2,518","2,507","1,366",882,785,445,600,13,10,39403
39405,檮原町　　　　,Yusuhara-cho,"3,608","3,605",3,"3,404",346,"1,735","1,527",...,14,58,106,126,"3,615","1,560","1,552",847,548,492,324,337,15,1,39405
39410,日高村　　　　,Hidaka-mura,"5,030","5,020",10,"4,980",472,"2,582","1,976",...,28,81,141,131,"4,870","1,968","1,961","1,145",529,641,324,366,14,9,39410
39411,津野町　　　　,Tsuno-cho,"5,794","5,770",24,"5,620",641,"2,747","2,406",...,17,111,136,150,"5,125","2,297","2,291","1,293",622,752,406,424,12,11,39411
39412,四万十町　　　,Shimanto-cho,"17,325","17,257",61,"16,465","1,739","8,224","7,323",...,79,347,393,475,"17,235","7,454","7,428","4,018","2,455","2,300","1,317","1,546",32,14,39412
39424,大月町　　　　,Otsuki-cho,"5,095","5,086",9,"4,805",446,"2,409","2,240",...,9,114,105,136,"4,681","2,369","2,363","1,327",814,790,432,566,13,2,39424
39427,三原村　　　　,Mihara-mura,"1,574","1,561",13,"1,489",145,716,713,...,6,24,36,20,"1,483",703,701,408,242,239,141,162,4,1,39427
39428,黒潮町　　　　,Kuroshio-cho,"11,217","11,103",113,"10,859","1,036","5,562","4,618",...,39,191,280,309,"10,167","4,899","4,880","2,829","1,542","1,615",932,986,26,12,39428
40,福岡県　　　,Fukuoka-ken,"5,101,556","4,995,297","47,097","5,124,259","676,045","3,057,855","1,304,764","3,693,129","38,966","53,273","260,470","253,688","5,105,438","2,201,037","2,196,617","1,197,150","820,806","452,163","235,739","260,056","22,745","8,955",40
40100,北九州市　　　,Kitakyushu-shi,"961,286","942,781","9,388","944,712","119,448","549,397","277,120","864,534","6,459","11,256","40,479","41,891","983,517","426,325","425,544","238,689","157,488","98,640","53,698","60,915","4,069","1,675",40100
40101,　門司区　　　　,  Moji-ku,"99,637","98,814",669,"96,393","11,224","52,241","35,060","83,359",492,"1,433","2,829","3,373","97,946","43,082","42,989","25,848","13,979","12,418","6,836","7,834",307,152,40101
40103,　若松区　　　　,  Wakamatsu-ku,"82,844","81,722",987,"81,995","10,733","47,023","24,896","66,042",513,959,"3,078","3,294","82,591","33,692","33,616","21,015","9,829","8,946","4,848","4,917",276,107,40103
40105,　戸畑区　　　　,  Tobata-ku,"59,116","58,429",631,"56,942","6,903","34,441","17,531","58,462",388,697,"2,603","2,953","70,519","27,797","27,751","14,673","11,526","6,070","3,265","4,512",248,75,40105
40106,　小倉北区　　　,  Kokurakita-ku,"181,878","175,407","3,188","181,522","19,394","104,914","50,075","179,710","1,440","2,101","11,088","10,831","224,589","91,253","91,112","41,669","43,859","16,841","8,861","13,580","1,001",372,40106
40107,　小倉南区　　　,  Kokuraminami-ku,"212,850","211,032","1,128","210,095","29,924","126,427","55,703","184,330","1,521","2,227","8,833","8,966","190,913","88,497","88,332","53,833","28,011","20,447","11,244","10,210",900,432,40107
40108,　八幡東区　　　,  Yahatahigashi-ku,"68,844","68,136",626,"65,452","7,586","37,416","23,612","65,412",343,977,"3,055","3,028","73,391","31,442","31,391","16,934","12,246","8,108","4,341","5,752",280,100,40108
40109,　八幡西区　　　,  Yahatanishi-ku,"256,117","249,241","2,159","252,313","33,684","146,935","70,243","227,219","1,762","2,862","8,993","9,446","243,568","110,562","110,353","64,717","38,038","25,810","14,303","14,110","1,057",437,40109
40130,福岡市　　　　,Fukuoka-shi,"1,538,681","1,478,656","23,662","1,562,767","199,923","996,401","312,331","1,486,479","13,079","12,588","114,455","106,546","1,704,218","764,820","763,824","348,959","379,499","109,261","56,191","80,032","8,678","2,760",40130
40131,　東区　　　　　,  Higashi-ku,"306,015","293,776","7,636","315,893","43,380","196,831","62,089","299,541","2,757","2,556","20,236","17,628","303,352","141,682","141,506","72,711","61,734","22,421","11,747","13,590","1,575",563,40131
40132,　博多区　　　　,  Hakata-ku,"228,441","207,703","4,013","235,319","21,491","151,343","42,134","221,009","2,273","1,796","24,831","24,186","381,926","138,832","138,629","40,766","92,551","12,466","6,025","15,030","2,064",506,40132
40133,　中央区　　　　,  Chuo-ku,"192,688","183,547","3,584","192,654","19,531","133,279","33,581","192,688","1,603","1,298","19,878","17,715","296,992","116,186","116,063","38,299","73,677","11,055","5,631","11,893","1,408",345,40133
40134,　南区　　　　　,  Minami-ku,"255,797","249,403","3,445","264,517","34,626","163,562","55,430","255,129","2,179","2,204","16,361","15,492","223,162","119,637","119,487","61,941","51,553","19,989","10,201","13,798","1,342",455,40134
40135,　西区　　　　　,  Nishi-ku,"206,868","203,206","2,224","208,225","31,405","129,439","44,772","178,151","1,688","1,771","11,597","11,761","183,179","88,142","88,011","50,214","32,347","15,801","8,143","8,216",876,298,40135
40136,　城南区　　　　,  Jonan-ku,"130,995","127,229",970,"125,958","16,837","84,258","28,215","130,273",899,"1,131","8,376","7,642","119,555","64,606","64,511","30,297","31,533","10,283","5,394","7,206",483,194,40136
40137,　早良区　　　　,  Sawara-ku,"217,877","213,792","1,790","220,201","32,653","137,689","46,110","209,688","1,680","1,832","13,176","12,122","196,052","95,735","95,617","54,731","36,104","17,246","9,050","10,299",930,399,40137
40202,大牟田市　　　,Omuta-shi,"117,360","115,962",395,"111,967","12,726","62,270","40,542","96,981",678,"1,859","2,874","3,433","122,659","49,398","49,250","27,038","16,829","13,219","6,724","8,811",361,182,40202
40203,久留米市　　　,Kurume-shi,"304,552","297,254","2,064","304,666","41,133","179,398","76,256","188,031","2,477","3,238","11,398","11,432","303,181","121,913","121,647","67,035","40,019","25,422","12,568","12,861","1,375",547,40203
40204,直方市　　　　,Nogata-shi,"57,146","56,582",446,"56,240","7,455","31,585","17,941","26,858",409,744,"1,977","2,034","60,081","23,281","23,217","13,925","7,034","6,139","3,191","3,571",216,126,40204
40205,飯塚市　　　　,Iizuka-shi,"129,146","128,078",938,"127,552","16,338","74,512","37,210","49,683",933,"1,557","4,219","4,309","131,091","54,732","54,506","29,873","19,514","12,377","6,421","7,886",539,217,40205
40206,田川市　　　　,Tagawa-shi,"48,441","47,999",264,"46,781","6,278","26,553","15,480","18,668",331,651,"1,551","1,874","52,786","20,955","20,876","11,479","7,814","4,856","2,613","4,046",164,107,40206
40207,柳川市　　　　,Yanagawa-shi,"67,777","67,472",227,"65,016","8,345","38,542","20,815","11,149",404,866,"1,741","1,883","62,633","23,453","23,398","12,961","5,453","6,307","2,890","2,537",211,99,40207
40210,八女市　　　　,Yame-shi,"64,408","63,944",258,"61,994","7,604","35,223","21,451","6,250",380,937,"1,548","2,038","66,111","22,109","22,021","12,169","4,871","6,149","3,105","2,727",203,87,40210
40211,筑後市　　　　,Chikugo-shi,"48,339","47,985",258,"49,532","7,120","28,679","12,456","12,374",424,517,"2,056","2,016","46,575","17,379","17,340","10,583","4,097","4,037","2,015","1,613",201,73,40211
40212,大川市　　　　,Okawa-shi,"34,838","34,537",121,"33,375","3,668","19,579","11,456","7,650",196,473,938,"1,215","35,469","12,709","12,672","6,764","3,318","3,563","1,606","1,349",114,61,40212
40213,行橋市　　　　,Yukuhashi-shi,"70,586","70,002",325,"73,045","9,592","41,059","19,770","28,057",566,810,"2,710","2,779","64,607","28,648","28,582","18,129","8,132","7,171","4,043","3,637",279,139,40213
40214,豊前市　　　　,Buzen-shi,"25,940","25,740",164,"24,940","3,087","13,609","8,964",...,132,375,640,781,"26,895","10,070","10,027","6,093","2,774","2,936","1,720","1,568",67,35,40214
40215,中間市　　　　,Nakama-shi,"41,796","41,484",170,"40,992","4,616","22,489","14,585","35,908",262,550,"1,442","1,606","36,196","17,414","17,389","10,638","5,029","5,334","2,936","2,915",143,95,40215
40216,小郡市　　　　,Ogori-shi,"57,983","57,459",405,"59,585","8,286","34,489","15,089","40,484",374,579,"2,335","2,342","48,145","20,964","20,909","13,873","4,692","5,269","2,815","1,962",163,67,40216
40217,筑紫野市　　　,Chikushino-shi,"101,081","100,305",426,"104,616","14,927","62,860","23,028","71,171",854,923,"5,262","4,638","88,590","39,350","39,274","25,900","10,427","8,755","4,626","3,540",447,166,40217
